release_path	source_layer	headers_preview
tables/target_species_variants.csv	release_table	target_variant_id|target_concept_id|species_name|uniprot_id|gene_name_species
tables/targets_conceptual.csv	release_table	target_concept_id|gene_name|protein_name
tables/ted_results.csv	release_table	protein_row_id|structure_unique_sequence_id|TED_n_residues|TED_n_high|TED_n_medium|TED_n_low|TED_n_consensus|TED_high_domains|TED_medium_domains|TED_low_domains|TED_searchable_domain_count|TED_searchable_high_domain_count|TED_searchable_medium_domain_count|TED_domains_with_cath_hit_count|TED_domains_without_cath_hit_count|TED_domain_hit_coverage|TED_mean_novelty_l2_topk|TED_max_novelty_l2_topk|TED_best_top1_target|TED_best_top1_cosine|TED_best_cath_domain_id|TED_best_cath_class_code|TED_best_cath_class_name|TED_best_cath_architecture_code|TED_best_cath_architecture_name
tables/trusted_source_qc.csv	release_table	protein_row_id|structure_unique_sequence_id|qc_review_mode|trusted_source_group|trusted_source_sampled_for_qc|trusted_source_qc_verdict|trusted_source_qc_issue_type|trusted_source_qc_sampling_stratum|trusted_source_qc_sampling_rate|trusted_source_origin_row_index
tables/database_schema_table_inventory.csv	release_table	table_name|layer|primary_key|foreign_keys|direct_from_current_master|note
schema/protein_database_er_core.sql	schema	
schema/protein_database_er_full.sql	schema	
schema/protein_database_er_full_mysql.sql	schema	
schema/protein_database_er_full_sqlite.sql	schema	
schema/protein_database_er_core.mmd	schema	
schema/protein_database_er_full.mmd	schema	
schema/database_schema_table_inventory.csv	schema	table_name|layer|primary_key|foreign_keys|direct_from_current_master|note
schema/database_schema_table_inventory.md	schema	
schema/database_schema_description.md	schema	
tables/protein_main_wide_view_1996.csv	release_table	protein_row_id|structure_unique_sequence_id|File_Name|Scaffold_Category|Final_Tested_Sequence|Sequence_UniProt_ID|Sequence_PDB_ID|Affinity_Data_evidence_quote|Affinity_Data_temperature|Affinity_Data_unit|Affinity_Data_value|Affinity_Data_value_type|CMC_Data_data_type|CMC_Data_expression_system|CMC_Data_molecular_weight|CMC_Data_solubility_value|Digestive_Assays_data_type|Digestive_Assays_enzyme_name|Digestive_Assays_result_value|Domains_domain_name|Domains_evidence_quote|Domains_is_engineered|Domains_scaffold_type|Domains_sequence|Interactions_interaction_class
tables/protein_main_wide_view_merge_audit.csv	release_table	table|join_type|rows|duplicate_key_rows|base_missing_rows|extra_rows_not_in_base|mapped_rows|note
sequence_structure/manifests/analysis_best_pdbs_manifest.csv	sequence_structure	row_index|protein_label|scaffold|canonical_name|selected_structure_type|selected_structure_source_path|selected_structure_bundle_path|structure_locator|structure_best_available_source
sequence_structure/manifests/analysis_sequence_fastas_clean_report.md	sequence_structure	
sequence_structure/manifests/analysis_sequence_fastas_manifest.csv	sequence_structure	row_index|protein_label|scaffold|canonical_name|sequence_source_used|final_tested_sequence_length|fasta_path
sequence_structure/manifests/bundle_report.md	sequence_structure	
sequence_structure/manifests/copied_final_sequence_structure_map.csv	sequence_structure	layer|source|destination|protein_label|scaffold|source_type|method
sequence_structure/manifests/package_inventory.csv	sequence_structure	relative_path|extension|bytes|last_write_time
sequence_structure/manifests/package_summary_counts.csv	sequence_structure	item|count|note
sequence_structure/manifests/records_without_best_structure.csv	sequence_structure	protein_label|scaffold_category|canonical_name|structure_unique_sequence_id
sequence_structure/manifests/scaffold_summary_counts.csv	sequence_structure	scaffold|final_records|with_structure|no_structure
sequence_structure/manifests/structure_fasta_length_mismatches_vs_web_proteins.csv	sequence_structure	protein_id|structure_unique_sequence_id|protein_label|scaffold|canonical_name_x|actual_fasta_len|final_tested_sequence_length|sequence_length|db_final_len|sequence_source_used|fasta_path|structure_best_available_source|structure_locator|chain_id|resnum_start|resnum_end|chain_length|structure_match_type|structure_match_detail|structure_match_identity|structure_match_coverage|structure_match_chain_coverage
sequence_structure/manifests/structure_source_method_counts.csv	sequence_structure	source_layer|method|count
sequence_structure/manifests/structure_submission_manifest.csv	sequence_structure	protein_id|protein_row_id|structure_unique_sequence_id|protein_label|scaffold_category|canonical_name|sequence_length|structure_best_available_source|selected_structure_type|submitted_structure_available|submitted_structure_relative_path|submitted_fasta_available|submitted_fasta_relative_path|sequence_source_used|final_tested_sequence_length|structure_locator|pdb_code|chain_id|resnum_start|resnum_end|complex_chain_annotation_completed|database_full_sequence_length|structure_fasta_length|sequence_scope|length_scope_note
sequence_structure/manifests/web_ready_final_manifest.csv	sequence_structure	protein_label|scaffold_category|canonical_name|structure_unique_sequence_id|sequence_length|package_sequence_path|package_best_structure_path|package_metadata_path|package_scaffold_sequence_dir|package_scaffold_structure_dir|selected_structure_type|structure_best_available_source|structure_source_layer|structure_method|submitted_structure_available|sequence_source_used|final_tested_sequence_length|structure_fasta_length|sequence_scope|length_scope_note|original_bundle_fasta_relative_path|original_bundle_structure_relative_path
sequence_structure/sequences/all_protein_sequences.fasta	sequence_structure	
analysis/strict_background/strict_combined_background_air_clusters_20260531.csv	analysis_output	cluster_id|loop_length|representative_sequence|n_members|cluster_flexible_fraction|cluster_binary_label|mixed_label_cluster
analysis/strict_background/strict_combined_background_cluster_members_20260531.csv	analysis_output	cluster_id|source_sequence|loop_length|source_label|source_is_flexible|dataset
analysis/strict_background/strict_combined_background_fbbp_clusters_20260531.csv	analysis_output	cluster_id|loop_length|representative_sequence|n_members|cluster_flexible_fraction|cluster_binary_label|mixed_label_cluster
analysis/strict_background/strict_combined_background_report_20260531.md	analysis_output	
analysis/strict_background/strict_combined_background_summary_20260531.csv	analysis_output	analysis|resolution_threshold_angstrom|sequence_identity_dedup_threshold|exact_fbbp_air_sequence_overlap_removed_from_air|n_fbbp_records_after_pdb_xray_resolution_filter|n_fbbp_sequence_clusters_90id|n_air_records_after_pdb_xray_resolution_filter|n_air_sequence_clusters_90id|fbbp_cluster_mixed_label_count|air_cluster_mixed_label_count|n_fbbp_clusters_length_matched|n_fbbp_clusters_missing_air_length|observed_fbbp_flexible_fraction|strict_air_length_matched_expected_fraction|observed_minus_expected|bootstrap_ci_lower|bootstrap_ci_upper|bootstrap_p_one_sided_air_ge_fbbp|n_bootstrap|mh_strata_used|mantel_haenszel_or|logit_n_obs|length_adjusted_dataset_or|length_adjusted_or_ci_lower|length_adjusted_or_ci_upper
analysis/strict_background/strict_combined_background_report_20260531.md	analysis_output	
code/strict_background/run_strict_background_20260531.py	code	
code/strict_background/inspect_strict_background_inputs_20260531.py	code	
analysis/air_all_background/tbp_vs_airs_enhanced_loop_level_v2.csv	analysis_output	protein_row_id|structure_unique_sequence_id|loop_id|loop_slot|loop_chain_id|loop_start|loop_end|loop_length|loop_flank_pattern|loop_status|loop_manual_decision|loop_confidence_tier|loop_candidate_scope|highest_priority_cohort|selected_structure_source|selected_structure_path|structure_job_id|colabfold_job_id|dssp_status|dssp_path|avg_rsa|residue_count_with_rsa|getcontact_status|raw_tsv_path|loop_contact_internal_unique
analysis/air_all_background/tbp_vs_airs_enhanced_summary_v2.json	analysis_output	
analysis/air_all_background/tbp_vs_airs_air_reference_v1.csv	analysis_output	air_record_id|seq_loop|flexibility_label|loop_length|set|n_structures|n_pdbs|n_conformations_0.5A|n_conformations_1.25A|n_conformations_2A|chains
analysis/air_all_background/tbp_vs_airs_loop_level_comparison_v1.csv	analysis_output	protein_row_id|structure_unique_sequence_id|loop_id|loop_slot|loop_chain_id|loop_start|loop_end|loop_length|loop_flank_pattern|loop_status|loop_manual_decision|loop_confidence_tier|loop_candidate_scope|highest_priority_cohort|selected_structure_source|selected_structure_path|structure_job_id|colabfold_job_id|dssp_status|dssp_path|avg_rsa|residue_count_with_rsa|getcontact_status|raw_tsv_path|loop_contact_internal_unique
analysis/air_all_background/tbp_vs_airs_length_standardized_summary_v2.csv	analysis_output	cohort|tbp_total|tbp_flexible_count|tbp_rigid_count|tbp_flexible_fraction|air_expected_flexible_fraction|tbp_minus_air_expected_fraction|air_missing_length_count
analysis/air_all_background/tbp_vs_airs_scaffold_standardized_summary_v2.csv	analysis_output	cohort|tbp_total|tbp_flexible_count|tbp_rigid_count|tbp_flexible_fraction|air_expected_flexible_fraction|tbp_minus_air_expected_fraction|air_missing_length_count
analysis/air_all_background/tbp_vs_airs_exact_match_dynamic_summary_v2.csv	analysis_output	has_air_exact_seq_match|n_loops|n_with_dynamic|diversity_mean|diversity_median|dynamic_mean|dynamic_median|clusters_mean|itsflex_mean|match_group
analysis/air_all_background/tbp_vs_airs_mantel_haenszel_summary_v2.csv	analysis_output	comparison|strata_used|mantel_haenszel_or
analysis/air_all_background/tbp_vs_airs_logit_summary_v2.csv	analysis_output	n_obs|dataset_coef|dataset_se|dataset_or|ci_lower|ci_upper|p_value|intercept|loop_length_coef|loop_length_sq_coef|model_converged|comparison
analysis/air_all_background/tbp_vs_airs_enhanced_analysis_20260402.md	analysis_output	
analysis/air_all_background/TBP_vs_AIRs_masked_MSA_detailed_process_results_20260405.md	analysis_output	
code/air_all_background/compare_tbp_vs_airs_v2.py	code	
code/air_all_background/compare_tbp_vs_airs_v1.py	code	
analysis/binding_interface/binding_loop_residue_summary_strict_v1.csv	analysis_output	protein_row_id|structure_unique_sequence_id|loop_id|Scaffold_Category|complex_structure_path|tbp_chain_id|target_chain_id|selected_target_chain_id|loop_start|loop_end|loop_length|binding_residue_count|nonbinding_residue_count|binding_fraction|mean_binding_rel_asa|mean_nonbinding_rel_asa|mean_binding_delta_asa_proxy|mean_nonbinding_delta_asa_proxy|delta_asa_supported_residue_count|core_interface_residue_count|core_interface_strict_residue_count|dssp_matched_residue_count
analysis/binding_interface/binding_residue_labels_strict_v1.csv	analysis_output	residue_seq_num|binding_label|selected_target_chain_id|min_target_distance|protein_row_id|structure_unique_sequence_id|loop_id|Scaffold_Category|tbp_chain_id|target_chain_id|complex_structure_path|binding_annotation_source|mono_proxy_asa|complex_pair_asa|delta_asa_proxy|distance_defined_label|delta_asa_supported_label|core_interface_label|core_interface_strict_label|aa|ss|rel_asa|phi|psi
analysis/binding_interface/binding_subregion_summary_manual_final_v1.csv	analysis_output	final_label_source|confidence_tier|final_binding_loop_label|n_loops
analysis/binding_interface/binding_subregion_summary_manual_final_v1.json	analysis_output	
analysis/binding_interface/binding_vs_nonbinding_primary_stats_manual_final_v1.csv	analysis_output	group|metric|n_binding|n_nonbinding|binding_mean|nonbinding_mean|binding_median|nonbinding_median|delta_mean|delta_median|mannwhitney_p
analysis/binding_interface/binding_vs_nonbinding_residue_stats_strict_v1.csv	analysis_output	group|metric|label_layer|n_binding|n_nonbinding|binding_mean|nonbinding_mean|binding_median|nonbinding_median|delta_mean|delta_median|mannwhitney_p
analysis/binding_interface/loop_binding_labels_manual_final_v1.csv	analysis_output	protein_row_id|structure_unique_sequence_id|loop_id|loop_slot|Scaffold_Category|analysis_tier|binding_loop_label|binding_loop_score|label_source|confidence_tier|evidence_type|binding_residue_count|nonbinding_residue_count|subregion_mode|selected_target_chain_id|highest_priority_cohort|loop_chain_id|loop_start|loop_end|loop_length|loop_flank_pattern|selected_structure_path|Targets_gene_name|Target_PDB_ID|Sources_title
analysis/binding_interface/loop_binding_subregions_long_manual_final_v1.csv	analysis_output	loop_id|binding_label|subregion_start|subregion_end|label_source|selected_target_chain_id|final_binding_label|final_label_source
analysis/binding_interface/binding_residue_report_strict_v1.md	analysis_output	
analysis/binding_interface/binding_subregion_report_manual_final_v1.md	analysis_output	
analysis/binding_interface/binding_vs_nonbinding_primary_report_manual_final_v1.md	analysis_output	
analysis/binding_interface/2026-04-18_binding_nonbinding_complete_analysis.md	analysis_output	
code/binding_interface/build_binding_nonbinding_candidates_v1.py	code	
code/binding_interface/build_binding_subregion_analysis_v1.py	code	
code/binding_interface/build_binding_residue_strict_v1.py	code	
analysis/binding_interface/pcsk9_1459D05_case_study_summary.tsv	analysis_output	case_id|protein_row_id|structure_unique_sequence_id|binder_name|scaffold_category|target_gene_name|pdb_id|structure_chain_id|loop_id|loop_slot|loop_start|loop_end|loop_length|loop_sequence|loop_flank_pattern|loop_status|loop_confidence_tier|binding_loop_label|binding_loop_score|binding_residue_count_prior_or_review|nonbinding_residue_count_prior_or_review|binding_review_decision|binding_review_basis|binding_review_note|avg_rsa
figure_source_data/schema_web_resource/er-mermaid.png	figure_source_data	
figure_source_data/schema_web_resource/ER_diagram.png	figure_source_data	
code/website_bundle/build_frontend_bundle.py	code	
